frame,objeto,confianza,id,matricula
251,plate,0.11,-1,
252,plate,0.21,-1,
253,plate,0.21,-1,
254,plate,0.20,-1,
255,plate,0.17,-1,
256,plate,0.16,-1,
257,plate,0.16,-1,
258,plate,0.20,-1,
259,plate,0.21,-1,
260,plate,0.21,-1,
261,plate,0.16,-1,
262,plate,0.18,-1,
263,plate,0.14,-1,
264,plate,0.13,-1,
303,plate,0.11,-1,
307,plate,0.10,-1,
308,plate,0.11,-1,
309,plate,0.10,-1,
310,plate,0.11,-1,
311,plate,0.11,-1,
318,plate,0.11,-1,
319,plate,0.11,-1,
320,plate,0.15,-1,
321,plate,0.14,-1,
322,plate,0.15,-1,
323,plate,0.16,-1,
324,plate,0.17,-1,
325,plate,0.16,-1,
326,plate,0.13,-1,
327,plate,0.15,-1,
328,plate,0.10,-1,
329,plate,0.12,-1,
330,plate,0.12,-1,
331,plate,0.12,-1,
332,plate,0.15,-1,
333,plate,0.15,-1,
334,plate,0.15,-1,
335,plate,0.14,-1,
336,plate,0.15,-1,
337,plate,0.15,-1,
338,plate,0.15,-1,
339,plate,0.15,-1,
340,plate,0.15,-1,
341,plate,0.16,-1,
342,plate,0.15,-1,
343,plate,0.16,-1,
344,plate,0.17,-1,
345,plate,0.17,-1,
346,plate,0.16,-1,
347,plate,0.16,-1,
348,plate,0.16,-1,
349,plate,0.15,-1,
350,plate,0.16,-1,
351,plate,0.15,-1,
352,plate,0.14,-1,
353,plate,0.16,-1,
354,plate,0.16,-1,
355,plate,0.16,-1,
356,plate,0.18,-1,
357,plate,0.19,-1,
358,plate,0.21,-1,
359,plate,0.18,-1,
360,plate,0.17,-1,
361,plate,0.19,-1,
362,plate,0.17,-1,
363,plate,0.20,-1,
364,plate,0.19,-1,
365,plate,0.20,-1,
366,plate,0.19,-1,
367,plate,0.15,-1,
368,plate,0.14,-1,
369,plate,0.17,-1,
370,plate,0.14,-1,
370,plate,0.12,-1,
371,plate,0.14,-1,
371,plate,0.12,-1,
372,plate,0.16,-1,
373,plate,0.17,-1,
